time_s,cart_x_m,theta_rad,cart_v_mps,theta_dot_radps,force_N,solve_time_ms,solver_success,solver_status,first_x_ddot_mps2,first_theta_ddot_radps2,passive_hinge_id_residual_Nm
1.420000,0.250100591,-0.013405028,0.119923309,-0.004222911,-0.164203089,3.229319,1,Solve_Succeeded,-0.137654176,0.016366573,0.000000000000e+00
1.430000,0.251283637,-0.013445450,0.118547416,-0.004069313,-0.164897044,2.656512,1,Solve_Succeeded,-0.138199683,0.015710785,0.000000000000e+00
1.440000,0.252452864,-0.013484301,0.117166334,-0.003912732,-0.164897044,2.656512,1,Solve_Succeeded,-0.138199683,0.015710785,0.000000000000e+00
1.450000,0.253608275,-0.013521690,0.115784937,-0.003764948,-0.165535024,3.109602,1,Solve_Succeeded,-0.138700461,0.015093339,1.734723475977e-18
1.460000,0.254749817,-0.013557569,0.114398774,-0.003614488,-0.165535024,3.109602,1,Solve_Succeeded,-0.138700461,0.015093339,1.734723475977e-18
1.470000,0.255877493,-0.013592040,0.113012322,-0.003472163,-0.166118729,4.313382,1,Solve_Succeeded,-0.139157802,0.014511730,-1.734723475977e-18
1.480000,0.256991254,-0.013625059,0.111621513,-0.003327465,-0.166118729,4.313382,1,Solve_Succeeded,-0.139157802,0.014511730,-1.734723475977e-18
1.490000,0.258091104,-0.013656720,0.110230444,-0.003190268,-0.166649762,4.184421,1,Solve_Succeeded,-0.139572924,0.013963614,0.000000000000e+00
1.500000,0.259176996,-0.013686984,0.108835414,-0.003050999,-0.166649762,4.184421,1,Solve_Succeeded,-0.139572924,0.013963614,0.000000000000e+00
1.510000,0.260248935,-0.013715937,0.107440149,-0.002918619,-0.167129636,4.325334,1,Solve_Succeeded,-0.139946979,0.013446798,-1.734723475977e-18
1.520000,0.261306880,-0.013743545,0.106041311,-0.002784465,-0.167129636,4.325334,1,Solve_Succeeded,-0.139946979,0.013446798,-1.734723475977e-18
1.530000,0.262350834,-0.013769885,0.104642264,-0.002656613,-0.167559779,4.374878,1,Solve_Succeeded,-0.140281054,0.012959230,0.000000000000e+00
1.540000,0.263380759,-0.013794930,0.103240018,-0.002527283,-0.167559779,4.374878,1,Solve_Succeeded,-0.140281054,0.012959230,0.000000000000e+00
1.550000,0.264396660,-0.013818748,0.101837590,-0.002403689,-0.167941545,4.399358,1,Solve_Succeeded,-0.140576181,0.012498991,0.000000000000e+00
1.560000,0.265398504,-0.013841317,0.100432329,-0.002278910,-0.167941545,4.399358,1,Solve_Succeeded,-0.140576181,0.012498991,0.000000000000e+00
1.570000,0.266386293,-0.013862700,0.099026911,-0.002159322,-0.168276211,4.153308,1,Solve_Succeeded,-0.140833335,0.012064287,1.734723475977e-18
1.580000,0.267359998,-0.013882875,0.097619015,-0.002038838,-0.168276211,4.153308,1,Solve_Succeeded,-0.140833335,0.012064287,1.734723475977e-18
1.590000,0.268319623,-0.013901901,0.096210987,-0.001923020,-0.168564987,4.507174,1,Solve_Succeeded,-0.141053441,0.011653437,0.000000000000e+00
1.600000,0.269265143,-0.013919762,0.094800829,-0.001806593,-0.168564987,4.507174,1,Solve_Succeeded,-0.141053441,0.011653437,0.000000000000e+00
1.610000,0.270196560,-0.013936507,0.093390564,-0.001694325,-0.168809022,4.317851,1,Solve_Succeeded,-0.141237376,0.011264871,0.000000000000e+00
1.620000,0.271113853,-0.013952125,0.091978506,-0.001581734,-0.168809022,4.317851,1,Solve_Succeeded,-0.141237376,0.011264871,0.000000000000e+00
1.630000,0.272017025,-0.013966661,0.090566366,-0.001472811,-0.169009403,4.291679,1,Solve_Succeeded,-0.141385973,0.010897121,0.000000000000e+00
1.640000,0.272906058,-0.013980107,0.089152764,-0.001363847,-0.169009403,4.291679,1,Solve_Succeeded,-0.141385973,0.010897121,0.000000000000e+00
1.650000,0.273780954,-0.013992502,0.087739103,-0.001258077,-0.169167163,4.103228,1,Solve_Succeeded,-0.141500026,0.010548812,0.000000000000e+00
1.660000,0.274641701,-0.014003841,0.086324304,-0.001152547,-0.169167163,4.103228,1,Solve_Succeeded,-0.141500026,0.010548812,0.000000000000e+00
1.670000,0.275488299,-0.014014157,0.084909469,-0.001049751,-0.169283284,4.049199,1,Solve_Succeeded,-0.141580287,0.010218660,0.000000000000e+00
1.680000,0.276320738,-0.014023451,0.083493811,-0.000947474,-0.169283284,4.049199,1,Solve_Succeeded,-0.141580287,0.010218660,0.000000000000e+00
1.690000,0.277139022,-0.014031750,0.082078141,-0.000847485,-0.169358701,4.021778,1,Solve_Succeeded,-0.141627476,0.009905463,0.000000000000e+00
1.700000,0.277943142,-0.014039057,0.080661957,-0.000748291,-0.169358701,4.021778,1,Solve_Succeeded,-0.141627476,0.009905463,0.000000000000e+00
1.710000,0.278733101,-0.014045395,0.079245783,-0.000650955,-0.169394302,4.082809,1,Solve_Succeeded,-0.141642276,0.009608097,1.734723475977e-18
1.720000,0.279508895,-0.014050772,0.077829398,-0.000554686,-0.169394302,4.082809,1,Solve_Succeeded,-0.141642276,0.009608097,1.734723475977e-18
1.730000,0.280270526,-0.014055203,0.076413044,-0.000459857,-0.169390937,3.294341,1,Solve_Succeeded,-0.141625344,0.009325513,1.734723475977e-18
